Politician,Company,Published,Traded,Owner,Type,Size,Price of Stock
Michael McCaulRepublicanHouseTX,Cadence Design Systems IncCDNS:US,18 Sept2024,9 Aug2024,Spouse,buy,15K–50K,$270.13
Michael McCaulRepublicanHouseTX,Synopsys IncSNPS:US,18 Sept2024,9 Aug2024,Spouse,buy,15K–50K,$524.73
Michael McCaulRepublicanHouseTX,Dynatrace IncDT:US,18 Sept2024,9 Aug2024,Spouse,buy,15K–50K,$47.71
Michael McCaulRepublicanHouseTX,Arrow Electronics IncARW:US,18 Sept2024,6 Aug2024,Spouse,buy,15K–50K,$124.71
Michael McCaulRepublicanHouseTX,Synopsys IncSNPS:US,18 Sept2024,23 Aug2024,Spouse,buy,1K–15K,$539.39
Michael McCaulRepublicanHouseTX,Cadence Design Systems IncCDNS:US,18 Sept2024,23 Aug2024,Spouse,buy,1K–15K,$273.90
Michael McCaulRepublicanHouseTX,SOUTH CAROLINA JOBS ECONOMIC DEVELOPMENT AUTHORITYN/A,18 Sept2024,20 Aug2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,MAYS ALLOCATE LPN/A,18 Sept2024,20 Aug2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,FirstCash Holdings IncFCFS:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$118.16
Michael McCaulRepublicanHouseTX,White Mountains Insurance Group LtdWTM:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,"$1,774.55"
Michael McCaulRepublicanHouseTX,TriMas CorpTRS:US,18 Sept2024,28 Aug2024,Spouse,sell,1K–15K,$24.98
Michael McCaulRepublicanHouseTX,Gates Industrial Corp PLCGTES:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$17.93
Michael McCaulRepublicanHouseTX,AptarGroup IncATR:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$150.16
Michael McCaulRepublicanHouseTX,Arrow Electronics IncARW:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$133.48
Michael McCaulRepublicanHouseTX,Alphabet IncGOOGL:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$166.16
Michael McCaulRepublicanHouseTX,Beacon Roofing Supply IncBECN:US,18 Sept2024,25 Aug2024,Spouse,sell,1K–15K,N/A
Michael McCaulRepublicanHouseTX,Fortune Brands Innovations IncFBIN:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$80.92
Michael McCaulRepublicanHouseTX,OneMain Holdings IncOMF:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$48.88
Michael McCaulRepublicanHouseTX,The Interpublic Group of Cos IncIPG:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$32.38
Michael McCaulRepublicanHouseTX,Carlisle Cos IncCSL:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$419.25
Michael McCaulRepublicanHouseTX,Houlihan Lokey IncHLI:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$154.63
Michael McCaulRepublicanHouseTX,Plexus CorpPLXS:US,18 Sept2024,20 Aug2024,Spouse,sell,1K–15K,$122.54
Michael McCaulRepublicanHouseTX,Zions Bancorporation National AssociationZION:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$49.07
Michael McCaulRepublicanHouseTX,HENRY SCHEIN IncHSIC:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$70.90
Michael McCaulRepublicanHouseTX,Primerica IncPRI:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$260.17
Michael McCaulRepublicanHouseTX,nVent Electric PLCNVT:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$66.09
Michael McCaulRepublicanHouseTX,CORE & MAIN INCCNM:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$53.71
Michael McCaulRepublicanHouseTX,Donaldson Co IncDCI:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$74.85
Michael McCaulRepublicanHouseTX,Microsoft CorpMSFT:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$413.49
Michael McCaulRepublicanHouseTX,Valvoline IncVVV:US,18 Sept2024,28 Aug2024,Spouse,sell,1K–15K,$42.01
Michael McCaulRepublicanHouseTX,CTS CorpCTS:US,18 Sept2024,28 Aug2024,Spouse,sell,1K–15K,$48.21
Michael McCaulRepublicanHouseTX,Dynatrace IncDT:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$50.26
Michael McCaulRepublicanHouseTX,Skechers U S A IncSKX:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$70.15
Michael McCaulRepublicanHouseTX,Insight Enterprises IncNSIT:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$214.08
Michael McCaulRepublicanHouseTX,Applied Industrial Technologies IncAIT:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$207.32
